,Title,Year,Age,Netflix,Hulu,Disney,key
140,Swades,2004,all,1,0,0,Swades2004
141,Tinker Tailor Soldier Spy,2011,18+,1,0,0,Tinker Tailor Soldier Spy2011
142,The Witch,2015,18+,1,0,0,The Witch2015
143,Haider,2014,13+,1,0,0,Haider2014
144,Padman,2018,13+,1,0,0,Padman2018
145,Hush,2016,18+,1,0,0,Hush2016
146,Elizabeth,1998,18+,1,0,0,Elizabeth1998
147,Miss Americana,2020,18+,1,0,0,Miss Americana2020
148,Christopher Robin,2018,7+,1,0,0,Christopher Robin2018
149,I Lost My Body,2019,18+,1,0,0,I Lost My Body2019
150,I Am Mother,2019,13+,1,0,0,I Am Mother2019
151,Lupin the Third: The Castle of Cagliostro,1979,7+,1,0,0,Lupin the Third: The Castle of Cagliostro1979
152,The Autopsy of Jane Doe,2016,18+,1,0,0,The Autopsy of Jane Doe2016
153,Virunga,2014,,1,0,0,Virunga2014
154,The Master,2012,18+,1,0,0,The Master2012
155,A Serious Man,2009,18+,1,0,0,A Serious Man2009
156,The King,2019,18+,1,0,0,The King2019
157,The Breadwinner,2017,13+,1,0,0,The Breadwinner2017
158,Article 15,2019,,1,0,0,Article 152019
159,The Killing of a Sacred Deer,2017,18+,1,0,0,The Killing of a Sacred Deer2017
160,Lawless,2012,18+,1,0,0,Lawless2012
161,Kabhi Khushi Kabhie Gham,2001,all,1,0,0,Kabhi Khushi Kabhie Gham2001
162,Charlie and the Chocolate Factory,2005,7+,1,0,0,Charlie and the Chocolate Factory2005
163,Freaks,2019,18+,1,0,0,Freaks2019
164,Hannah Gadsby: Nanette,2018,,1,0,0,Hannah Gadsby: Nanette2018
165,The Mask of Zorro,1998,13+,1,0,0,The Mask of Zorro1998
166,The Natural,1984,7+,1,0,0,The Natural1984
167,Equilibrium,2002,18+,1,0,0,Equilibrium2002
168,Arthur Christmas,2011,7+,1,0,0,Arthur Christmas2011
169,Winter on Fire: Ukraine's Fight for Freedom,2015,,1,0,0,Winter on Fire: Ukraine's Fight for Freedom2015
170,Always Be My Maybe,2019,13+,1,0,0,Always Be My Maybe2019
171,The Crying Game,1992,18+,1,0,0,The Crying Game1992
172,War Horse,2011,13+,1,0,0,War Horse2011
173,Shot Caller,2017,18+,1,0,0,Shot Caller2017
174,A Most Violent Year,2014,18+,1,0,0,A Most Violent Year2014
175,The Other Guys,2010,13+,1,0,0,The Other Guys2010
176,Kapoor & Sons,2016,13+,1,0,0,Kapoor & Sons2016
177,On Body and Soul,2017,,1,0,0,On Body and Soul2017
178,Insidious,2010,13+,1,0,0,Insidious2010
179,Bill Burr: Paper Tiger,2019,18+,1,0,0,Bill Burr: Paper Tiger2019
180,Bad Boys,1995,18+,1,0,0,Bad Boys1995
181,The Foreigner,2017,18+,1,0,0,The Foreigner2017
182,The Danish Girl,2015,18+,1,0,0,The Danish Girl2015
183,The Girl with All the Gifts,2016,18+,1,0,0,The Girl with All the Gifts2016
184,Bird Box,2018,18+,1,0,0,Bird Box2018
185,Hostiles,2017,18+,1,0,0,Hostiles2017
186,Sairat,2016,,1,0,0,Sairat2016
187,LA 92,2017,18+,1,0,0,LA 922017
188,20th Century Women,2016,18+,1,0,0,20th Century Women2016
189,Kal Ho Naa Ho,2003,all,1,0,0,Kal Ho Naa Ho2003
190,Swiss Army Man,2016,18+,1,0,0,Swiss Army Man2016
191,In This Corner of the World,2016,13+,1,0,0,In This Corner of the World2016
192,A Ghost Story,2017,18+,1,0,0,A Ghost Story2017
193,United 93,2006,18+,1,0,0,United 932006
194,The Secret Life of Pets 2,2019,7+,1,0,0,The Secret Life of Pets 22019
195,Hitch,2005,13+,1,1,0,Hitch2005
196,The Young Offenders,2016,,1,0,0,The Young Offenders2016
197,Enemy,2013,18+,1,0,0,Enemy2013
198,Everybody's Everything,2019,18+,1,0,0,Everybody's Everything2019
199,Indiana Jones and the Kingdom of the Crystal Skull,2008,13+,1,0,0,Indiana Jones and the Kingdom of the Crystal Skull2008
200,The Guernsey Literary & Potato Peel Pie Society,2018,,1,0,0,The Guernsey Literary & Potato Peel Pie Society2018
201,I Don't Feel at Home in This World Anymore,2017,18+,1,0,0,I Don't Feel at Home in This World Anymore2017
202,The Endless,2018,,1,0,0,The Endless2018
203,Julie & Julia,2009,13+,1,0,0,Julie & Julia2009
204,The Game Changers,2019,,1,0,0,The Game Changers2019
205,Under the Shadow,2016,13+,1,0,0,Under the Shadow2016
206,Angel Has Fallen,2019,18+,1,0,0,Angel Has Fallen2019
207,Mary Poppins Returns,2018,7+,1,0,0,Mary Poppins Returns2018
208,Kajaki,2014,18+,1,0,0,Kajaki2014
209,The Fear of 13,2015,,1,0,0,The Fear of 132015
210,The Night Comes for Us,2018,18+,1,0,0,The Night Comes for Us2018
211,Blood Father,2016,18+,1,0,0,Blood Father2016
212,Stree,2018,7+,1,0,0,Stree2018
213,American Factory,2019,16+,1,0,0,American Factory2019
214,Code 8,2019,,1,0,0,Code 82019
215,Salt,2010,13+,1,0,0,Salt2010
216,The Hundred-Foot Journey,2014,7+,1,0,0,The Hundred-Foot Journey2014
217,The Distinguished Citizen,2016,,1,0,0,The Distinguished Citizen2016
218,Scooby-Doo on Zombie Island,1998,all,1,0,0,Scooby-Doo on Zombie Island1998
219,Chasing Coral,2017,,1,0,0,Chasing Coral2017
220,The End of the Tour,2015,18+,1,0,0,The End of the Tour2015
221,The One I Love,2014,18+,1,0,0,The One I Love2014
222,Underworld,2003,18+,1,0,0,Underworld2003
223,The Death of Mr. Lazarescu,2005,18+,1,0,0,The Death of Mr. Lazarescu2005
224,Madagascar: Escape 2 Africa,2008,7+,1,0,0,Madagascar: Escape 2 Africa2008
225,The Wolf's Call,2019,16+,1,0,0,The Wolf's Call2019
226,What Happened to Monday,2017,18+,1,0,0,What Happened to Monday2017
227,The Willoughbys,2020,7+,1,0,0,The Willoughbys2020
228,The White Helmets,2016,16+,1,0,0,The White Helmets2016
229,Suburra,2015,,1,0,0,Suburra2015
230,The Matrix Revolutions,2003,18+,1,0,0,The Matrix Revolutions2003
231,Richard Pryor: Live in Concert,1979,18+,1,0,0,Richard Pryor: Live in Concert1979
232,Austin Powers: The Spy Who Shagged Me,1999,13+,1,0,0,Austin Powers: The Spy Who Shagged Me1999
233,Get Him to the Greek,2010,18+,1,0,0,Get Him to the Greek2010
234,Slow West,2015,18+,1,0,0,Slow West2015
235,The Meyerowitz Stories (New and Selected),2017,18+,1,0,0,The Meyerowitz Stories (New and Selected)2017
236,The Battered Bastards of Baseball,2014,,1,0,0,The Battered Bastards of Baseball2014
237,The Perfection,2018,18+,1,0,0,The Perfection2018
238,Ip Man 3,2015,13+,1,0,0,Ip Man 32015
239,Sinister,2012,18+,1,0,0,Sinister2012
240,Rush: Beyond the Lighted Stage,2010,,1,0,0,Rush: Beyond the Lighted Stage2010
241,20 Feet from Stardom,2013,13+,1,0,0,20 Feet from Stardom2013
242,The Stanford Prison Experiment,2015,18+,1,0,0,The Stanford Prison Experiment2015
243,My Week with Marilyn,2011,13+,1,0,0,My Week with Marilyn2011
244,Catfish,2010,13+,1,0,0,Catfish2010
245,Secret Superstar,2017,,1,0,0,Secret Superstar2017
246,Private Life,2018,,1,0,0,Private Life2018
247,Jarhead,2005,18+,1,0,0,Jarhead2005
248,Yes Man,2008,13+,1,0,0,Yes Man2008
249,For the Love of Spock,2016,,1,0,0,For the Love of Spock2016
250,Goon,2012,18+,1,0,0,Goon2012
251,Ace Ventura: Pet Detective,1994,13+,1,0,0,Ace Ventura: Pet Detective1994
252,Inequality for All,2013,7+,1,0,0,Inequality for All2013
253,Olympus Has Fallen,2013,18+,1,0,0,Olympus Has Fallen2013
254,Dave Chappelle: Sticks & Stones,2019,18+,1,0,0,Dave Chappelle: Sticks & Stones2019
255,John Mulaney: Kid Gorgeous at Radio City,2018,18+,1,0,0,John Mulaney: Kid Gorgeous at Radio City2018
256,La Bamba,1987,13+,1,0,0,La Bamba1987
257,Public Enemies,2009,18+,1,0,0,Public Enemies2009
258,Supersonic,2016,18+,1,0,0,Supersonic2016
259,The Edge of Democracy,2019,16+,1,0,0,The Edge of Democracy2019
260,The Polar Express,2004,all,1,0,0,The Polar Express2004
261,Under the Skin,2014,18+,1,0,0,Under the Skin2014
262,Crip Camp: A Disability Revolution,2020,18+,1,0,0,Crip Camp: A Disability Revolution2020
263,Tell Me Who I Am,2019,,1,0,0,Tell Me Who I Am2019
264,Hey Arnold! The Jungle Movie,2017,7+,1,1,0,Hey Arnold! The Jungle Movie2017
265,Zack and Miri Make a Porno,2008,18+,1,0,0,Zack and Miri Make a Porno2008
266,9,2009,13+,1,0,0,92009
267,Undefeated,2011,13+,1,0,0,Undefeated2011
268,Team Foxcatcher,2016,,1,0,0,Team Foxcatcher2016
269,A Shaun the Sheep Movie: Farmageddon,2019,all,1,0,0,A Shaun the Sheep Movie: Farmageddon2019
270,April and the Extraordinary World,2015,7+,1,0,0,April and the Extraordinary World2015
271,The Highwaymen,2019,18+,1,0,0,The Highwaymen2019
272,Legend,2015,18+,1,0,0,Legend2015
273,Boy & the World,2014,7+,1,0,0,Boy & the World2014
274,Creep 2,2017,,1,0,0,Creep 22017
275,Terminator 3: Rise of the Machines,2003,18+,1,0,0,Terminator 3: Rise of the Machines2003
276,Unrest,2017,,1,0,0,Unrest2017
277,Guru,2007,13+,1,0,0,Guru2007
278,Louis C.K. 2017,2017,18+,1,0,0,Louis C.K. 20172017
279,A Twelve-Year Night,2018,,1,0,0,A Twelve-Year Night2018
280,Happy as Lazzaro,2018,,1,0,0,Happy as Lazzaro2018
281,"What Happened, Miss Simone?",2015,,1,0,0,"What Happened, Miss Simone?2015"
282,1922,2017,18+,1,0,0,19222017
283,Hancock,2008,13+,1,0,0,Hancock2008
284,Circus of Books,2019,,1,0,0,Circus of Books2019
