Title,Year,Age,Netflix,Hulu,Disney,Key,Writer,Genre,IMDB_Rating,IMDB_Votes,Rotten_Tomatoes,Country,Awards
Becoming Champions,2018,all,1,0,0,Becoming Champions2018,Sandro Halphen,"Documentary, Sport",6.8,233,0,Mexico,0
Carver Kings,2015,7+,1,0,0,Carver Kings2015,0,Reality-TV,8.2,64,0,Canada,0
YG Future Strategy Office,2018,7+,1,0,0,YG Future Strategy Office2018,0,Comedy,7.4,155,0,South Korea,0
YG Future Strategy Office,2018,7+,1,0,0,YG Future Strategy Office2018,0,Comedy,7.4,155,0,South Korea,0
Age Gap Love,2014,,1,0,0,Age Gap Love2014,0,"Documentary, Romance",5.8,73,0,UK,0
Three Days of Christmas,2019,18+,1,0,0,Three Days of Christmas2019,0,Drama,6.8,704,0,Spain,0
Empire Games,2018,7+,1,0,0,Empire Games2018,0,Documentary,5.6,238,0,"Czech Republic, USA",0
Team Kaylie,2019,,1,0,0,Team Kaylie2019,"Tracy Bitterolf, Pamela Eells",Comedy,4.1,195,0,USA,0
Team Kaylie,2019,,1,0,0,Team Kaylie2019,"Tracy Bitterolf, Pamela Eells",Comedy,4.1,195,0,USA,0
Wake Up,2015,,1,0,0,Wake Up2015,Jonas Berry,"Short, Drama",0.0,0,0,USA,0
Dino Girl Gauko,2019,7+,1,0,0,Dino Girl Gauko2019,Akira Shigino,"Animation, Comedy",7.2,16,0,"USA, Japan",0
Ocean Giants,2011,,1,0,0,Ocean Giants2011,0,Documentary,8.2,184,0,UK,0
Idiotest,2014,7+,1,0,0,Idiotest2014,"Adam Rosenblatt, Jamie Rosenblatt, Mark Cronin",Game-Show,5.8,304,0,USA,1 nomination.
Idiotest,2014,7+,1,0,0,Idiotest2014,"Adam Rosenblatt, Jamie Rosenblatt, Mark Cronin",Game-Show,5.8,304,0,USA,1 nomination.
Idiotest,2014,7+,1,0,0,Idiotest2014,"Adam Rosenblatt, Jamie Rosenblatt, Mark Cronin",Game-Show,5.8,304,0,USA,1 nomination.
Skin Wars: Fresh Paint,2016,16+,1,0,0,Skin Wars: Fresh Paint2016,0,Reality-TV,6.1,252,0,USA,0
A Thousand Goodnights,2019,,1,0,0,A Thousand Goodnights2019,0,Drama,7.8,48,0,Taiwan,3 nominations.
My Runway,2016,7+,1,0,0,My Runway2016,0,Drama,6.2,152,0,South Korea,0
Africa's Deadliest,2011,,1,0,0,Africa's Deadliest2011,0,Documentary,6.9,54,0,South Africa,0
The Rap Game,2016,7+,1,1,0,The Rap Game2016,0,Reality-TV,5.4,112,0,USA,0
Mob Psycho 100,2018,all,1,0,0,Mob Psycho 1002018,0,"Sci-Fi, Thriller",5.1,369,0,Japan,0
Flinch,2019,7+,1,0,0,Flinch2019,0,Game-Show,4.2,588,0,UK,1 win.
Afghanistan: The Great Game,2012,,1,0,0,Afghanistan: The Great Game2012,0,Documentary,7.6,157,0,UK,0
"Noddy, Toyland Detective",2016,all,1,0,0,"Noddy, Toyland Detective2016","Myles McLeod, Heath Kenny","Animation, Family, Mystery",6.9,88,0,"France, UK, USA",0
Inspector Gadget,2015,all,1,0,0,Inspector Gadget2015,0,"Animation, Action, Adventure, Comedy, Family, Sci-Fi",4.3,378,0,"Canada, USA, France",3 nominations.
Singapore Social,2019,,1,0,0,Singapore Social2019,0,Reality-TV,4.5,406,0,"Singapore, USA",0
Camelia La Texana,2014,,1,0,0,Camelia La Texana2014,"Rodrigo Ordoñez, Hilario Peña, Marcelo Tobar","Crime, Drama, Romance",7.6,51,0,"Mexico, USA",0
Word Party,2016,all,1,0,0,Word Party2016,Alex Rockwell,"Animation, Family",6.1,257,0,USA,0
Word Party,2016,all,1,0,0,Word Party2016,Alex Rockwell,"Animation, Family",6.1,257,0,USA,0
Clangers,2015,,1,0,0,Clangers2015,0,Animation,8.2,46,0,UK,1 win & 3 nominations.
Bindi's Bootcamp,2012,,1,0,0,Bindi's Bootcamp2012,0,Game-Show,6.2,21,0,Australia,0
Bindi's Bootcamp,2012,,1,0,0,Bindi's Bootcamp2012,0,Game-Show,6.2,21,0,Australia,0
Bindi's Bootcamp,2012,,1,0,0,Bindi's Bootcamp2012,0,Game-Show,6.2,21,0,Australia,0
Chosen,2018,,1,0,0,Chosen2018,Jean-Marie Téno,Documentary,0.0,0,0,"Cameroon, France",1 nomination.
Popples,1986,all,1,0,0,Popples1986,0,"Animation, Comedy, Family",6.4,199,0,"USA, France, Japan",0
The Goop Lab,2020,18+,1,0,0,The Goop Lab2020,0,"Documentary, Reality-TV",2.3,2481,31,USA,0
The Hairy Bikers' Asian Adventure,2014,7+,1,0,0,The Hairy Bikers' Asian Adventure2014,0,Documentary,6.9,100,0,0,0
The Fierce Wife,2010,16+,1,0,0,The Fierce Wife2010,0,Drama,6.5,56,0,Taiwan,2 wins & 5 nominations.
Top 10 Secrets and Mysteries,2016,7+,1,0,0,Top 10 Secrets and Mysteries2016,0,"Documentary, Sci-Fi",5.1,134,0,"UK, USA, Czech Republic",0
Top 10 Secrets and Mysteries,2016,7+,1,0,0,Top 10 Secrets and Mysteries2016,0,"Documentary, Sci-Fi",5.1,134,0,"UK, USA, Czech Republic",0
Brown Nation,2016,,1,0,0,Brown Nation2016,0,Comedy,6.9,565,0,USA,0
Charlie's Colorforms City,2019,all,1,0,0,Charlie's Colorforms City2019,0,Family,8.0,80,0,USA,1 win & 2 nominations.
Charlie's Colorforms City,2019,all,1,0,0,Charlie's Colorforms City2019,0,Family,8.0,80,0,USA,1 win & 2 nominations.
Westside,2018,16+,1,0,0,Westside2018,0,Musical,5.9,137,20,USA,0
Ghost Town Gold,2012,,1,0,0,Ghost Town Gold2012,0,Reality-TV,7.0,132,0,USA,0
Clash of the Collectables,2017,,1,0,0,Clash of the Collectables2017,0,Reality-TV,7.3,45,0,Australia,0
The In-Laws,2003,13+,1,0,0,The In-Laws2003,"Andrew Bergman (screenplay ""The In-Laws""), Nat Mauldin (screenplay), Ed Solomon (screenplay)","Action, Comedy, Thriller",5.8,16178,34,"USA, Germany, Canada",0
The In-Laws,2003,13+,1,0,0,The In-Laws2003,"Andrew Bergman (screenplay ""The In-Laws""), Nat Mauldin (screenplay), Ed Solomon (screenplay)","Action, Comedy, Thriller",5.8,16178,34,"USA, Germany, Canada",0
Last Hope,2018,16+,1,0,0,Last Hope2018,0,"Animation, Sci-Fi",5.9,280,0,Japan,0
The Hollywood Masters,2017,,1,0,0,The Hollywood Masters2017,0,Biography,7.4,8,0,USA,0
Birdie Buddy,2011,7+,1,0,0,Birdie Buddy2011,0,Drama,7.4,38,0,South Korea,0
The Paper,2008,,1,0,0,The Paper2008,0,Reality-TV,7.0,110,0,USA,0
Home: Adventures with Tip & Oh,2016,7+,1,0,0,Home: Adventures with Tip & Oh2016,"Ryan Crego, Thurop Van Orman","Animation, Short, Adventure, Comedy, Family, Fantasy, Sci-Fi",5.8,461,0,USA,1 nomination.
The Motorbike Show,2011,,1,0,0,The Motorbike Show2011,0,News,8.4,34,0,UK,0
Court Justice: Sydney,2017,,1,0,0,Court Justice: Sydney2017,0,Crime,7.2,28,0,Australia,0
The Casketeers,2018,16+,1,0,0,The Casketeers2018,Annabelle Lee-Harris,Documentary,7.1,283,0,New Zealand,0
Kong: King of the Apes,2016,7+,1,0,0,Kong: King of the Apes2016,0,"Animation, Action, Adventure, Comedy, Family, Sci-Fi",5.7,267,0,"USA, Japan, Canada",3 nominations.
Kong: King of the Apes,2016,7+,1,0,0,Kong: King of the Apes2016,0,"Animation, Action, Adventure, Comedy, Family, Sci-Fi",5.7,267,0,"USA, Japan, Canada",3 nominations.
Kong: King of the Apes,2016,7+,1,0,0,Kong: King of the Apes2016,0,"Animation, Action, Adventure, Comedy, Family, Sci-Fi",5.7,267,0,"USA, Japan, Canada",3 nominations.
A Man Called God,2010,,1,0,0,A Man Called God2010,0,Romance,5.7,128,0,South Korea,0
The Judgement,2018,,1,0,0,The Judgement2018,"Bert Bouma, Sander Burger, Bas Haan (book), Joram Willink (idea)","Crime, Drama",0.0,0,0,Netherlands,0
Animal Airport,2012,,1,0,0,Animal Airport2012,0,Documentary,8.0,61,0,UK,0
Nailed It! France,2019,,1,0,0,Nailed It! France2019,0,Reality-TV,6.2,32,0,France,0
Cromo,2015,16+,1,0,0,Cromo2015,0,Thriller,7.6,56,0,Argentina,0
House Doctor,1998,,1,0,0,House Doctor1998,0,Reality-TV,4.7,91,0,UK,1 nomination.
The Last Nazis,2009,7+,1,0,0,The Last Nazis2009,0,Documentary,6.6,174,0,UK,0
The Last Nazis,2009,7+,1,0,0,The Last Nazis2009,0,Documentary,6.6,174,0,UK,0
Happy Jail,2019,18+,1,0,0,Happy Jail2019,0,Documentary,6.9,179,0,0,0
All About Love,2010,,1,0,0,All About Love2010,Yee Shan Yeung (screenplay),"Comedy, Romance",6.3,275,0,Hong Kong,0
Blazing Transfer Students,2017,,1,0,0,Blazing Transfer Students2017,0,"Action, Adventure, Comedy",7.2,91,0,Japan,0
72 Cutest Animals,2016,,1,0,0,72 Cutest Animals2016,0,Documentary,5.8,334,0,Australia,0
Terrorism Close Calls,2018,,1,0,0,Terrorism Close Calls2018,0,Documentary,5.3,497,0,"USA, Czech Republic",0
Robocar Poli,2011,,1,0,0,Robocar Poli2011,0,"Animation, Family",6.5,71,0,South Korea,0
Gunslinger Girl: Il Teatrino,2008,16+,1,0,0,Gunslinger Girl: Il Teatrino2008,0,"Animation, Action, Drama, Sci-Fi",7.0,455,0,Japan,0
Voice,2009,,1,0,0,Voice2009,0,"Short, Drama",4.8,13,0,India,0
Mahi Way,2010,,1,0,0,Mahi Way2010,0,Comedy,7.9,183,0,India,0
Narcoworld: Dope Stories,2019,,1,0,0,Narcoworld: Dope Stories2019,0,"Documentary, Crime",6.6,232,0,USA,0
The Good Bandit,2019,18+,1,0,0,The Good Bandit2019,0,"Comedy, Crime, Drama",4.3,6,0,Colombia,0
Reno My Reno,2015,,1,0,0,Reno My Reno2015,0,Reality-TV,8.7,13,0,Canada,0
Follow This,2018,18+,1,0,0,Follow This2018,0,Documentary,4.8,599,0,USA,0
Fugitiva,2018,18+,1,0,0,Fugitiva2018,Joaquín Oristrell,Drama,5.6,468,0,Spain,0
Jack Hanna's Into the Wild,2007,,1,1,0,Jack Hanna's Into the Wild2007,0,Documentary,7.6,33,0,USA,4 wins & 7 nominations.
Tijuana,2019,16+,1,0,0,Tijuana2019,"Zayre Ferrer, Daniel Posada",Crime,7.1,260,0,Mexico,0
No Time for Shame,2019,,1,0,0,No Time for Shame2019,0,Reality-TV,5.4,57,0,Argentina,0
Lily's Driftwood Bay,2014,all,1,0,0,Lily's Driftwood Bay2014,Colin Williams,Animation,7.9,50,0,UK,6 wins & 3 nominations.
Polly Pocket,2018,7+,1,1,0,Polly Pocket2018,0,"Animation, Adventure, Comedy, Family",6.6,34,0,"Canada, USA",0
Tiffany Haddish Presents: They Ready,2019,,1,0,0,Tiffany Haddish Presents: They Ready2019,Tiffany Haddish,Comedy,6.0,325,0,USA,0
Edge of the Universe,2002,,1,0,0,Edge of the Universe2002,0,Documentary,7.2,132,0,UK,0
Tempel,2016,,1,0,0,Tempel2016,"Henning Heup, Conni Lubek, Manuel Meimberg, Uwe Urbas",Drama,7.1,210,0,Germany,8 nominations.
Street Fighter,1995,,1,0,0,Street Fighter1995,0,Action,5.0,16,0,India,0
In Family We Trust,2018,,1,0,0,In Family We Trust2018,0,"Drama, Thriller",8.0,335,0,Thailand,0
The Naked Truth,2016,16+,1,0,0,The Naked Truth2016,0,Documentary,6.3,37,0,USA,1 nomination.
The Naked Truth,2016,16+,1,0,0,The Naked Truth2016,0,Documentary,6.3,37,0,USA,1 nomination.
The Naked Truth,2016,16+,1,0,0,The Naked Truth2016,0,Documentary,6.3,37,0,USA,1 nomination.
The Naked Truth,2016,16+,1,0,0,The Naked Truth2016,0,Documentary,6.3,37,0,USA,1 nomination.
Cloudy with a Chance of Meatballs,2017,all,1,0,0,Cloudy with a Chance of Meatballs2017,"Mark Evestaff, Alex Galatis","Animation, Comedy, Family, Fantasy, Sci-Fi",3.3,622,0,"USA, Canada",2 wins & 13 nominations.
Cloudy with a Chance of Meatballs,2017,all,1,0,0,Cloudy with a Chance of Meatballs2017,"Mark Evestaff, Alex Galatis","Animation, Comedy, Family, Fantasy, Sci-Fi",3.3,622,0,"USA, Canada",2 wins & 13 nominations.
Cloudy with a Chance of Meatballs,2017,all,1,0,0,Cloudy with a Chance of Meatballs2017,"Mark Evestaff, Alex Galatis","Animation, Comedy, Family, Fantasy, Sci-Fi",3.3,622,0,"USA, Canada",2 wins & 13 nominations.
Green Door,2019,18+,1,0,0,Green Door2019,0,"Comedy, Drama, Horror, Thriller",7.0,89,0,Taiwan,3 nominations.
Nailed It! Germany,2020,,1,0,0,Nailed It! Germany2020,0,Reality-TV,5.8,49,0,Germany,0
Ruta 35,2016,,1,0,0,Ruta 352016,0,0,7.8,12,0,USA,0
After the Raves,2016,,1,0,0,After the Raves2016,Danny Lee,"Documentary, Music",5.9,93,0,USA,0
Simon,1995,all,1,0,0,Simon1995,Danny Jacobson,Comedy,6.2,20,0,USA,0
Daughters of Destiny,2017,,1,0,0,Daughters of Destiny2017,Vanessa Roth,Documentary,8.5,666,0,USA,3 nominations.
Monty Python's Best Bits (mostly),2014,,1,0,0,Monty Python's Best Bits (mostly)2014,0,"Documentary, Comedy",7.1,18,0,UK,0
Cooking on High,2018,,1,0,0,Cooking on High2018,0,Game-Show,4.9,394,0,USA,0
What's for Sale? With a View,2015,,1,0,0,What's for Sale? With a View2015,0,Reality-TV,6.7,23,0,0,0
What's for Sale? With a View,2015,,1,0,0,What's for Sale? With a View2015,0,Reality-TV,6.7,23,0,0,0
Inside the Freemasons,2017,,1,0,0,Inside the Freemasons2017,0,"Documentary, Reality-TV",5.6,278,0,UK,0
Inside the Freemasons,2017,,1,0,0,Inside the Freemasons2017,0,"Documentary, Reality-TV",5.6,278,0,UK,0
Styling Hollywood,2019,16+,1,0,0,Styling Hollywood2019,0,Reality-TV,6.5,250,0,0,0
The Crime,2015,,1,0,0,The Crime2015,Doug Rollins,"Short, Crime, Drama",0.0,0,0,UK,0
The Crime,2015,,1,0,0,The Crime2015,Doug Rollins,"Short, Crime, Drama",0.0,0,0,UK,0
Edha,2018,18+,1,0,0,Edha2018,Daniel Burman,Drama,4.8,563,0,Argentina,0
Hidden Singer,2012,,1,0,0,Hidden Singer2012,0,Game-Show,6.2,12,0,South Korea,1 nomination.
Hidden Singer,2012,,1,0,0,Hidden Singer2012,0,Game-Show,6.2,12,0,South Korea,1 nomination.
StoryBots Super Songs,2016,,1,0,0,StoryBots Super Songs2016,0,"Animation, Family, Musical",8.3,112,0,USA,0
Alien Deep with Bob Ballard,2012,,1,0,0,Alien Deep with Bob Ballard2012,0,Documentary,6.7,77,0,USA,0
Alien Deep with Bob Ballard,2012,,1,0,0,Alien Deep with Bob Ballard2012,0,Documentary,6.7,77,0,USA,0
Nailed It! Mexico,2019,,1,0,0,Nailed It! Mexico2019,0,"Game-Show, Reality-TV",6.3,179,0,"Mexico, USA",0
Winsanity,2016,,1,0,0,Winsanity2016,"Cleve Keller, Dave Noll",Game-Show,6.2,71,0,USA,0
YooHoo to the Rescue,2019,all,1,0,0,YooHoo to the Rescue2019,0,Family,6.8,28,0,South Korea,0
Llama Llama,2018,all,1,0,0,Llama Llama2018,0,"Animation, Adventure, Family",6.3,227,0,USA,1 nomination.
Care Bears: Welcome to Care-a-Lot,2012,all,1,0,0,Care Bears: Welcome to Care-a-Lot2012,0,"Animation, Family",5.5,147,0,USA,1 win.
Monkey Twins,2018,,1,0,0,Monkey Twins2018,Nontakorn Taweesuk,"Action, Adventure, Crime",7.6,73,0,Thailand,0
Richie Rich,2015,all,1,0,0,Richie Rich2015,"Jeff Hodsden, Tim Pollock",Comedy,3.2,776,0,USA,1 nomination.
Bad Trips Abroad,2013,,1,0,0,Bad Trips Abroad2013,0,"Documentary, Crime",5.1,45,0,Canada,0
Auntie Duohe,2009,,1,0,0,Auntie Duohe2009,0,Drama,8.6,16,0,China,0
El Vato,2016,,1,0,0,El Vato2016,Jorge Dorantes,"Comedy, Drama, Music",6.7,117,0,Mexico,0
Dariba Diaries,2014,,1,0,0,Dariba Diaries2014,0,Mystery,8.6,7,0,India,0
Justin Time,2011,all,1,0,0,Justin Time2011,"Brandon James Scott, Mary Bredin, Frank Falcone","Animation, Adventure, Family",6.6,164,0,Canada,3 wins & 11 nominations.
Devlok with Devdutt Pattanaik,2015,all,1,0,0,Devlok with Devdutt Pattanaik2015,0,"Reality-TV, Talk-Show",7.7,101,0,India,0
Buddi,2020,,1,0,0,Buddi2020,Jason Jameson,Animation,7.6,29,0,"UK, China",0
Top 10 Architecture,2016,all,1,0,0,Top 10 Architecture2016,0,Reality-TV,7.5,40,0,"USA, Czech Republic",0
Top 10 Architecture,2016,all,1,0,0,Top 10 Architecture2016,0,Reality-TV,7.5,40,0,"USA, Czech Republic",0
Top 10 Architecture,2016,all,1,0,0,Top 10 Architecture2016,0,Reality-TV,7.5,40,0,"USA, Czech Republic",0
The Ollie & Moon Show,2017,all,1,0,0,The Ollie & Moon Show2017,"Caroline Simpson, Diane Kredensor, Robert Vargas, David Michel","Animation, Family",8.3,37,0,France,0
Vai Anitta,2018,,1,0,0,Vai Anitta2018,0,"Documentary, Reality-TV",5.3,369,0,Brazil,0
Vai Anitta,2018,,1,0,0,Vai Anitta2018,0,"Documentary, Reality-TV",5.3,369,0,Brazil,0
Lion Pride,2017,,1,0,0,Lion Pride2017,0,Romance,7.4,30,0,Taiwan,0
Lion Pride,2017,,1,0,0,Lion Pride2017,0,Romance,7.4,30,0,Taiwan,0
Women Behind Bars,2008,16+,1,0,0,Women Behind Bars2008,0,Documentary,6.5,154,0,USA,0
Oh Yuck!,2017,,1,0,0,Oh Yuck!2017,Dan Danko,Family,8.0,17,0,Canada,1 nomination.
Bible's Buried Secrets,2011,all,1,0,0,Bible's Buried Secrets2011,0,"Documentary, History",6.3,56,0,UK,0
Emergency,2015,16+,1,0,0,Emergency2015,0,Reality-TV,7.5,25,0,Canada,1 nomination.
Fifty,2017,,1,0,0,Fifty2017,0,0,0.0,0,0,Nigeria,0
Psiconautas,2015,,1,0,0,Psiconautas2015,0,Comedy,7.6,54,0,Argentina,0
Station Horizon,2015,7+,1,0,0,Station Horizon2015,"Romain Graf, Pierre-Adrian Irle","Comedy, Drama",7.2,44,0,Switzerland,0
Care Bears and Cousins,2015,all,1,0,0,Care Bears and Cousins2015,0,Animation,6.7,62,0,USA,0
Care Bears and Cousins,2015,all,1,0,0,Care Bears and Cousins2015,0,Animation,6.7,62,0,USA,0
Prince of Peoria,2018,all,1,0,0,Prince of Peoria2018,"Devin Bunje, Nick Stanton","Comedy, Family",5.5,293,0,USA,3 nominations.
Hunters of the South Seas,2015,,1,0,0,Hunters of the South Seas2015,0,Documentary,8.0,23,0,UK,0
Whisker Wars,2011,,1,0,0,Whisker Wars2011,0,Reality-TV,5.8,118,0,USA,0
Whisker Wars,2011,,1,0,0,Whisker Wars2011,0,Reality-TV,5.8,118,0,USA,0
Chuck & Danny's Road Trip,2017,,1,0,0,Chuck & Danny's Road Trip2017,0,Reality-TV,6.9,15,0,Canada,0
Scams,2019,,1,0,0,Scams2019,0,Drama,6.1,189,0,Japan,0
Martin Clunes: A Man and His Dogs,2008,,1,0,0,Martin Clunes: A Man and His Dogs2008,0,Documentary,8.2,95,0,UK,0
Sadqay Tumhare,2014,7+,1,0,0,Sadqay Tumhare2014,0,Romance,7.4,453,0,Pakistan,2 wins & 3 nominations.
Rebel Without a Kitchen,2013,,1,0,0,Rebel Without a Kitchen2013,0,0,6.4,18,0,Canada,1 nomination.
Scaredy Squirrel,2011,all,1,0,0,Scaredy Squirrel2011,Mélanie Watt,"Animation, Short",6.8,12,0,USA,0
True and the Rainbow Kingdom,2017,all,1,0,0,True and the Rainbow Kingdom2017,"Jeff Borkin, Samuel Borkson, Mary Bredin, Frank Falcone, Arturo Sandoval, Bill Schultz","Animation, Short, Adventure, Family, Fantasy",7.0,347,0,"USA, Canada",1 win & 5 nominations.
Larva,2011,all,1,0,0,Larva2011,0,"Animation, Short, Comedy, Family",7.5,238,0,South Korea,0
Larva,2011,all,1,0,0,Larva2011,0,"Animation, Short, Comedy, Family",7.5,238,0,South Korea,0
ID-0,2017,16+,1,0,0,ID-02017,0,"Animation, Action, Adventure, Drama, Sci-Fi",6.0,246,0,Japan,0
Super 4,2014,,1,0,0,Super 42014,0,"Animation, Action, Comedy, Family, Fantasy, Sci-Fi",7.2,58,0,"France, Germany",0
Small Shots,2017,18+,1,0,0,Small Shots2017,"Alev Aydin, Justin Schack",Comedy,6.8,103,0,USA,0
Backroad Bounty,2014,,1,0,0,Backroad Bounty2014,0,Reality-TV,7.6,71,0,Canada,0
Cloroformo,2012,,1,0,0,Cloroformo2012,Gustavo Loza,Drama,7.7,28,0,Mexico,0
Droppin' Cash: Los Angeles,2018,16+,1,0,0,Droppin' Cash: Los Angeles2018,0,Reality-TV,3.5,90,0,USA,0
Droppin' Cash: Los Angeles,2018,16+,1,0,0,Droppin' Cash: Los Angeles2018,0,Reality-TV,3.5,90,0,USA,0
Against the Tide,2014,,1,0,0,Against the Tide2014,0,Drama,6.7,6,0,Singapore,0
Against the Tide,2014,,1,0,0,Against the Tide2014,0,Drama,6.7,6,0,Singapore,0
Against the Tide,2014,,1,0,0,Against the Tide2014,0,Drama,6.7,6,0,Singapore,0
Office Girls,2011,,1,0,0,Office Girls2011,0,Romance,6.6,104,0,Taiwan,1 nomination.
Office Girls,2011,,1,0,0,Office Girls2011,0,Romance,6.6,104,0,Taiwan,1 nomination.
Cabins in the Wild with Dick Strawbridge,2017,7+,1,0,0,Cabins in the Wild with Dick Strawbridge2017,0,Reality-TV,6.7,149,0,UK,0
Ask the Doctor,2017,,1,0,0,Ask the Doctor2017,0,Documentary,6.5,195,0,Australia,0
Cocaine,2005,,1,0,0,Cocaine2005,0,Documentary,7.0,48,0,UK,1 nomination.
Black Crows,1983,,1,0,0,Black Crows1983,"Lasse Glomm, Espen Haavardsholm","Drama, Romance",5.0,7,0,0,0
Dwelling Narrowness,2009,,1,0,0,Dwelling Narrowness2009,0,"Drama, Romance",7.2,81,0,China,1 win & 1 nomination.
Transformers: Rescue Bots Academy,2019,all,1,0,0,Transformers: Rescue Bots Academy2019,0,Animation,7.2,28,0,USA,0
Nailed It! Spain,2019,,1,0,0,Nailed It! Spain2019,0,Reality-TV,5.1,32,0,Spain,0
Nailed It! Spain,2019,,1,0,0,Nailed It! Spain2019,0,Reality-TV,5.1,32,0,Spain,0
Happy 300 Days,2013,,1,0,0,Happy 300 Days2013,0,Drama,4.6,21,0,Taiwan,0
Miss Rose,2012,all,1,0,0,Miss Rose2012,0,"Comedy, Romance",6.0,61,0,Taiwan,0
Miss Rose,2012,all,1,0,0,Miss Rose2012,0,"Comedy, Romance",6.0,61,0,Taiwan,0
Jojo's World,2017,,1,0,0,Jojo's World2017,0,"Drama, Romance",7.3,22,0,Taiwan,0
The Truth Seekers,2016,,1,0,0,The Truth Seekers2016,0,Action,7.5,11,0,Singapore,0
The Truth Seekers,2016,,1,0,0,The Truth Seekers2016,0,Action,7.5,11,0,Singapore,0
Part-Time Idol,2017,7+,1,0,0,Part-Time Idol2017,0,"Comedy, Drama, Family",0.0,0,0,South Korea,0
Secrets of the SAS: In Their Own Words,2016,,1,0,0,Secrets of the SAS: In Their Own Words2016,0,Documentary,7.9,50,0,UK,0
Tech Toys 360,2011,,1,0,0,Tech Toys 3602011,Jeffrey Levine,0,8.6,28,0,USA,0
Tech Toys 360,2011,,1,0,0,Tech Toys 3602011,Jeffrey Levine,0,8.6,28,0,USA,0
When I See You Again,2015,,1,0,0,When I See You Again2015,0,Drama,6.4,12,0,Taiwan,0
Operation Proposal,2012,,1,0,0,Operation Proposal2012,0,"Comedy, Fantasy, Romance",6.9,93,0,South Korea,0
Tip the Mouse,2014,,1,0,0,Tip the Mouse2014,0,Animation,6.1,27,0,"Germany, USA, Italy",0
Tip the Mouse,2014,,1,0,0,Tip the Mouse2014,0,Animation,6.1,27,0,"Germany, USA, Italy",0
Motorway Cops,2008,,1,0,0,Motorway Cops2008,0,Documentary,6.2,36,0,UK,0
Gordon Buchanan: Elephant Family & Me,2016,7+,1,0,0,Gordon Buchanan: Elephant Family & Me2016,0,Documentary,7.7,31,0,UK,0
Gordon Buchanan: Elephant Family & Me,2016,7+,1,0,0,Gordon Buchanan: Elephant Family & Me2016,0,Documentary,7.7,31,0,UK,0
Gordon Buchanan: Elephant Family & Me,2016,7+,1,0,0,Gordon Buchanan: Elephant Family & Me2016,0,Documentary,7.7,31,0,UK,0
Gordon Buchanan: Elephant Family & Me,2016,7+,1,0,0,Gordon Buchanan: Elephant Family & Me2016,0,Documentary,7.7,31,0,UK,0
Yours Fatefully,2012,,1,0,0,Yours Fatefully2012,0,"Comedy, Romance",6.5,8,0,Singapore,0
Buy Herself,2012,,1,0,0,Buy Herself2012,0,Reality-TV,6.6,14,0,Canada,1 nomination.
Sammy & Co,2014,,1,0,0,Sammy & Co2014,0,Animation,5.5,17,0,France,0
Emogenius,2017,,1,0,0,Emogenius2017,0,Game-Show,3.9,56,0,USA,0
Chip and Potato,2018,all,1,0,0,Chip and Potato2018,0,Animation,6.9,88,0,"UK, Canada",0
The Land of Hypocrisy,2018,,1,0,0,The Land of Hypocrisy2018,0,Comedy,7.2,79,0,Egypt,0
Restaurant Australia,2015,,1,0,0,Restaurant Australia2015,0,Documentary,8.5,12,0,Australia,0
Sports on Fire,2015,,1,0,0,Sports on Fire2015,Pete McCormack,Documentary,7.9,26,0,Canada,1 nomination.
Yummy Mummies,2017,7+,1,0,0,Yummy Mummies2017,0,Reality-TV,4.0,561,0,Australia,0
Robozuna,2018,7+,1,0,0,Robozuna2018,0,Animation,6.1,71,0,UK,0
Baby Animals in the Wild,2015,,1,0,0,Baby Animals in the Wild2015,0,Documentary,7.8,31,0,Australia,0
Chasing Cameron,2016,7+,1,0,0,Chasing Cameron2016,0,Reality-TV,3.7,460,0,USA,0
Chasing Cameron,2016,7+,1,0,0,Chasing Cameron2016,0,Reality-TV,3.7,460,0,USA,0
Chasing Cameron,2016,7+,1,0,0,Chasing Cameron2016,0,Reality-TV,3.7,460,0,USA,0
Juana Brava,2015,,1,0,0,Juana Brava2015,0,Drama,0.0,0,0,Chile,0
Juana Brava,2015,,1,0,0,Juana Brava2015,0,Drama,0.0,0,0,Chile,0
Kibaoh Klashers,2017,7+,1,0,0,Kibaoh Klashers2017,0,Adventure,6.1,8,0,China,0
Kulipari: An Army of Frogs,2016,7+,1,0,0,Kulipari: An Army of Frogs2016,Trevor Pryce,"Animation, Action, Fantasy",6.9,194,0,USA,4 nominations.
Tornado Hunters,2014,,1,0,0,Tornado Hunters2014,0,Reality-TV,5.6,94,0,Canada,0
Empty,2008,,1,0,0,Empty2008,0,Comedy,7.0,123,0,UK,0
Wanda and the Alien,2014,all,1,0,0,Wanda and the Alien2014,0,Animation,6.5,24,0,UK,0
Bromance,2008,,1,0,0,Bromance2008,"Ryan Seacrest, Jason C. Henry, Kathy Sutula",Reality-TV,2.7,145,0,USA,1 nomination.
Made in Mexico,2018,,1,0,0,Made in Mexico2018,0,Reality-TV,3.9,660,0,USA,0
Spy Kids: Mission Critical,2018,all,1,0,0,Spy Kids: Mission Critical2018,"Robert Rodriguez, F.M. De Marco, Michael Hefferon, Sean Jara","Animation, Action, Adventure, Comedy, Family, Sci-Fi",4.6,252,0,"USA, Canada",1 nomination.
